element name,element id,number of combinations,element a1 name,element a1 id,element a2 name,element a2 id,element b1 name,element b1 id,element b2 name,element b2 id,element c1 name,element c1 id,element c2 name,element c2 id,element d1 name,element d1 id,element d2 name,element d2 id,,,,
electriceel,111,1,electricity,113,fish,126,,,,,,,,,,,,,,,,
electrician,112,1,electricity,113,human,168,,,,,,,,,,,,,,,,
electricity,113,2,energy,115,metal,201,sun,310,solarcell,295,,,,,,,,,,,,
email,114,1,computer,82,letter,187,,,,,,,,,,,,,,,,
energy,115,2,fire,2,air,4,sun,310,plant,246,,,,,,,,,,,,
engineer,116,1,human,168,tool,327,,,,,,,,,,,,,,,,
eruption,117,1,energy,115,volcano,338,,,,,,,,,,,,,,,,
explosion,118,1,fire,2,gunpowder,156,,,,,,,,,,,,,,,,
family,119,1,human,168,house,167,,,,,,,,,,,,,,,,
farmer,120,2,human,168,field,122,plant,246,human,168,,,,,,,,,,,,
faun,121,1,goat,146,human,168,,,,,,,,,,,,,,,,
field,122,1,earth,3,tool,327,,,,,,,,,,,,,,,,
fireman,123,1,fire,2,human,168,,,,,,,,,,,,,,,,
fireplace,124,1,campfire,55,house,167,,,,,,,,,,,,,,,,
fireworks,125,1,sky,285,explosion,118,,,,,,,,,,,,,,,,
fish,126,1,time,323,hardroe,160,,,,,,,,,,,,,,,,
flood,127,2,rain,254,time,323,rain,254,rain,254,,,,,,,,,,,,
flour,128,2,stone,306,wheat,347,windmill,351,wheat,347,,,,,,,,,,,,
flute,129,1,wind,350,wood,356,,,,,,,,,,,,,,,,
flyingfish,130,1,fish,126,bird,36,,,,,,,,,,,,,,,,
fog,131,1,cloud,76,earth,3,,,,,,,,,,,,,,,,
forest,132,1,tree,329,tree,329,,,,,,,,,,,,,,,,
fossil,133,2,dinosaur,94,earth,3,dinosaur,94,time,323,,,,,,,,,,,,
Frankenstein,134,2,electricity,113,corpse,84,electricity,113,zombie,360,,,,,,,,,,,,
fridge,135,2,cold,81,metal,201,cold,81,electricity,113,,,,,,,,,,,,
fruit,136,2,tree,329,farmer,120,sun,310,tree,329,,,,,,,,,,,,
fruittree,137,1,tree,329,fruit,136,,,,,,,,,,,,,,,,
galaxy,138,1,star,299,star,299,,,,,,,,,,,,,,,,
garden,139,2,plant,246,grass,149,plant,246,plant,246,,,,,,,,,,,,
geyser,140,1,earth,3,steam,302,,,,,,,,,,,,,,,,
gift,141,4,Santa,270,Christmastree,71,Santa,270,chimney,69,fireplace,124,Santa,270,Santa,270,Christmasstocking,70,,,,
glacier,142,1,ice,170,mountain,211,,,,,,,,,,,,,,,,
glass,143,2,fire,2,sand,265,electricity,113,sand,265,,,,,,,,,,,,
glasses,144,2,glass,143,glass,143,glass,143,metal,201,,,,,,,,,,,,
glasshouse,145,1,plant,246,glass,143,,,,,,,,,,,,,,,,
goat,146,1,mountain,211,livestock,194,,,,,,,,,,,,,,,,
gold,147,1,sun,310,metal,201,,,,,,,,,,,,,,,,
golem,148,1,life,188,clay,74,,,,,,,,,,,,,,,,
grass,149,1,earth,3,plant,246,,,,,,,,,,,,,,,,
grave,150,2,earth,3,coffin,80,earth,3,corpse,84,,,,,,,,,,,,
gravestone,151,1,stone,306,grave,150,,,,,,,,,,,,,,,,
graveyard,152,1,grave,150,grave,150,,,,,,,,,,,,,,,,
grenade,153,1,explosion,118,metal,201,,,,,,,,,,,,,,,,
grimreaper,154,2,scythe,274,corpse,84,scythe,274,human,168,,,,,,,,,,,,
gun,155,1,metal,201,bullet,50,,,,,,,,,,,,,,,,
gunpowder,156,1,fire,2,dust,104,,,,,,,,,,,,,,,,
hail,157,3,cloud,76,ice,170,ice,170,storm,307,rain,254,ice,170,,,,,,,,
ham,158,1,meat,199,smoke,289,,,,,,,,,,,,,,,,
hamburger,159,1,bread,46,meat,199,,,,,,,,,,,,,,,,
hardroe,160,4,water,1,egg,109,egg,109,ocean,223,egg,109,sea,275,fish,126,fish,126,,,,
hay,161,2,farmer,120,grass,149,scythe,274,grass,149,,,,,,,,,,,,
hero,162,1,dragon,100,knight,181,,,,,,,,,,,,,,,,
horizon,163,3,earth,3,sky,285,sky,285,ocean,223,sky,285,sea,275,,,,,,,,
horse,164,1,hay,161,livestock,194,,,,,,,,,,,,,,,,
hospital,165,1,sickness,283,house,167,,,,,,,,,,,,,,,,
hourglass,166,1,sand,265,glass,143,,,,,,,,,,,,,,,,
house,167,4,brick,47,tool,327,human,168,wood,356,brick,47,human,168,wall,341,wall,341,,,,
human,168,1,earth,3,life,188,,,,,,,,,,,,,,,,
hurricane,169,1,energy,115,wind,350,,,,,,,,,,,,,,,,
ice,170,1,water,1,cold,81,,,,,,,,,,,,,,,,
icecream,171,2,cold,81,milk,204,ice,170,milk,204,,,,,,,,,,,,
iceberg,172,4,Antarctica,14,ocean,223,Antarctica,14,sea,275,ice,170,ocean,223,ice,170,sea,275,,,,
idea,173,1,lightbulb,190,human,168,,,,,,,,,,,,,,,,
igloo,174,1,ice,170,house,167,,,,,,,,,,,,,,,,
internet,175,2,computer,82,computer,82,wire,353,computer,82,,,,,,,,,,,,
isle,176,1,volcano,338,ocean,223,,,,,,,,,,,,,,,,
jedi,177,2,lightsaber,192,human,168,knight,181,lightsaber,192,,,,,,,,,,,,
juice,178,2,water,1,fruit,136,pressure,250,fruit,136,,,,,,,,,,,,
kite,179,1,wind,350,paper,231,,,,,,,,,,,,,,,,
king,180,1,human,168,castle,60,,,,,,,,,,,,,,,,
knight,181,1,armor,18,human,168,,,,,,,,,,,,,,,,
lamp,182,1,lightbulb,190,metal,201,,,,,,,,,,,,,,,,
lava,183,1,fire,2,earth,3,,,,,,,,,,,,,,,,
lavalamp,184,1,lamp,182,lava,183,,,,,,,,,,,,,,,,
leaf,185,1,tree,329,wind,350,,,,,,,,,,,,,,,,
leather,186,2,blade,39,cow,85,pig,237,blade,39,,,,,,,,,,,,
letter,187,1,paper,231,pencil,233,,,,,,,,,,,,,,,,
life,188,2,energy,115,swamp,316,time,323,love,196,,,,,,,,,,,,
light,189,1,electricity,113,lightbulb,190,,,,,,,,,,,,,,,,
lightbulb,190,1,electricity,113,glass,143,,,,,,,,,,,,,,,,
lighthouse,191,4,light,189,ocean,223,light,189,sea,275,beach,32,light,189,light,189,house,167,,,,
lightsaber,192,3,light,189,sword,319,electricity,113,sword,319,energy,115,sword,319,,,,,,,,
lion,193,1,wildanimal,349,cat,61,,,,,,,,,,,,,,,,
livestock,194,2,wildanimal,349,human,168,life,188,farmer,120,,,,,,,,,,,,
lizard,195,1,swamp,316,egg,109,,,,,,,,,,,,,,,,
love,196,1,human,168,human,168,,,,,,,,,,,,,,,,
lumberjack,197,1,human,168,axe,24,,,,,,,,,,,,,,,,
manatee,198,1,cow,85,sea,275,,,,,,,,,,,,,,,,
meat,199,2,tool,327,cow,85,pig,237,tool,327,,,,,,,,,,,,
mermaid,200,1,human,168,fish,126,,,,,,,,,,,,,,,,
metal,201,1,fire,2,stone,306,,,,,,,,,,,,,,,,
meteor,202,1,atmosphere,21,meteoroid,203,,,,,,,,,,,,,,,,
meteoroid,203,1,space,297,stone,306,,,,,,,,,,,,,,,,
milk,204,2,human,168,cow,85,farmer,120,cow,85,,,,,,,,,,,,
mirror,205,1,glass,143,metal,201,,,,,,,,,,,,,,,,
money,206,1,paper,231,gold,147,,,,,,,,,,,,,,,,
monkey,207,1,wildanimal,349,tree,329,,,,,,,,,,,,,,,,
moon,208,1,sky,285,cheese,67,,,,,,,,,,,,,,,,
moss,209,1,algae,8,stone,306,,,,,,,,,,,,,,,,
motorcycle,210,2,energy,115,bicycle,35,steel,305,bicycle,35,,,,,,,,,,,,
mountain,211,1,earthquake,107,earth,3,,,,,,,,,,,,,,,,
mouse,212,1,wildanimal,349,cheese,67,,,,,,,,,,,,,,,,
mud,213,1,water,1,earth,3,,,,,,,,,,,,,,,,
mummy,214,1,pyramid,253,corpse,84,,,,,,,,,,,,,,,,
music,215,2,flute,129,human,168,sound,296,human,168,,,,,,,,,,,,
narwhal,216,2,water,1,unicorn,335,ocean,223,unicorn,335,,,,,,,,,,,,
nerd,217,1,glasses,144,human,168,,,,,,,,,,,,,,,,
nest,218,2,hay,161,bird,36,tree,329,bird,36,,,,,,,,,,,,
newspaper,219,1,paper,231,paper,231,,,,,,,,,,,,,,,,
night,220,1,time,323,moon,208,,,,,,,,,,,,,,,,
oasis,221,1,water,1,desert,92,,,,,,,,,,,,,,,,
obsidian,222,1,water,1,lava,183,,,,,,,,,,,,,,,,
ocean,223,1,water,1,sea,275,,,,,,,,,,,,,,,,
oil,224,1,sunflower,312,pressure,250,,,,,,,,,,,,,,,,
omelette,225,1,fire,2,egg,109,,,,,,,,,,,,,,,,
orchard,226,1,fruittree,137,fruittree,137,,,,,,,,,,,,,,,,
origami,227,1,paper,231,bird,36,,,,,,,,,,,,,,,,
owl,228,1,night,220,bird,36,,,,,,,,,,,,,,,,
oxygen,229,1,sun,310,plant,246,,,,,,,,,,,,,,,,
palm,230,1,isle,176,tree,329,,,,,,,,,,,,,,,,
paper,231,1,wood,356,pressure,250,,,,,,,,,,,,,,,,
pegasus,232,2,horse,164,bird,36,horse,164,sky,285,,,,,,,,,,,,
pencil,233,2,charcoal,66,wood,356,coal,77,wood,356,,,,,,,,,,,,
penguin,234,2,wildanimal,349,ice,170,ice,170,bird,36,,,,,,,,,,,,
phoenix,235,1,fire,2,bird,36,,,,,,,,,,,,,,,,
pie,236,1,dough,99,fruit,136,,,,,,,,,,,,,,,,
pig,237,1,mud,213,livestock,194,,,,,,,,,,,,,,,,
pigeon,238,3,bird,36,statue,301,bird,36,city,73,bird,36,letter,187,,,,,,,,
pilot,239,2,airplane,6,human,168,seaplane,278,human,168,,,,,,,,,,,,
pipe,240,1,wood,356,tobacco,326,,,,,,,,,,,,,,,,
piranha,241,1,blood,41,fish,126,,,,,,,,,,,,,,,,
pirate,242,1,sword,319,sailor,263,,,,,,,,,,,,,,,,
pizza,243,1,cheese,67,dough,99,,,,,,,,,,,,,,,,
planet,244,1,earth,3,space,297,,,,,,,,,,,,,,,,
plankton,245,1,water,1,life,188,,,,,,,,,,,,,,,,
plant,246,1,rain,254,earth,3,,,,,,,,,,,,,,,,
platypus,247,1,beaver,33,duck,102,,,,,,,,,,,,,,,,
pond,248,1,water,1,garden,139,,,,,,,,,,,,,,,,
pottery,249,1,fire,2,clay,74,,,,,,,,,,,,,,,,
pressure,250,2,earth,3,earth,3,air,4,air,4,,,,,,,,,,,,
printer,251,1,paper,231,computer,82,,,,,,,,,,,,,,,,
prism,252,1,rainbow,255,glass,143,,,,,,,,,,,,,,,,
pyramid,253,1,desert,92,grave,150,,,,,,,,,,,,,,,,
rain,254,2,water,1,air,4,water,1,cloud,76,,,,,,,,,,,,
rainbow,255,1,sun,310,rain,254,,,,,,,,,,,,,,,,
reindeer,256,1,wildanimal,349,Santa,270,,,,,,,,,,,,,,,,
ring,257,2,diamond,93,metal,201,diamond,93,gold,147,,,,,,,,,,,,
river,258,1,water,1,mountain,211,,,,,,,,,,,,,,,,
robot,259,2,metal,201,life,188,steel,305,life,188,,,,,,,,,,,,
rocket,260,1,airplane,6,space,297,,,,,,,,,,,,,,,,
rust,261,2,air,4,metal,201,metal,201,oxygen,229,,,,,,,,,,,,
sailboat,262,1,wind,350,boat,42,,,,,,,,,,,,,,,,
sailor,263,2,sailboat,262,human,168,human,168,boat,42,,,,,,,,,,,,
salt,264,2,sun,310,ocean,223,sun,310,sea,275,,,,,,,,,,,,
sand,265,1,stone,306,air,4,,,,,,,,,,,,,,,,
sandcastle,266,1,sand,265,castle,60,,,,,,,,,,,,,,,,
sandpaper,267,1,paper,231,sand,265,,,,,,,,,,,,,,,,
sandstorm,268,3,hurricane,169,sand,265,energy,115,sand,265,storm,307,sand,265,,,,,,,,
sandwich,269,2,cheese,67,bread,46,bread,46,ham,158,,,,,,,,,,,,
Santa,270,1,human,168,Christmastree,71,,,,,,,,,,,,,,,,
scarecrow,271,1,human,168,hay,161,,,,,,,,,,,,,,,,
scissors,272,1,blade,39,blade,39,,,,,,,,,,,,,,,,
scorpion,273,2,wildanimal,349,sand,265,wildanimal,349,dune,103,,,,,,,,,,,,
scythe,274,2,blade,39,grass,149,blade,39,wheat,347,,,,,,,,,,,,
sea,275,1,water,1,water,1,,,,,,,,,,,,,,,,
seagull,276,3,beach,32,bird,36,bird,36,ocean,223,bird,36,sea,275,,,,,,,,
seahorse,277,2,horse,164,ocean,223,horse,164,sea,275,,,,,,,,,,,,
seaplane,278,3,water,1,airplane,6,sea,275,airplane,6,ocean,223,airplane,6,,,,,,,,
seasickness,279,2,sickness,283,ocean,223,sickness,283,sea,275,,,,,,,,,,,,
seaweed,280,2,plant,246,ocean,223,plant,246,sea,275,,,,,,,,,,,,
shark,281,4,blood,41,ocean,223,blood,41,sea,275,wildanimal,349,ocean,223,wildanimal,349,sea,275,,,,
sheep,282,1,cloud,76,livestock,194,,,,,,,,,,,,,,,,
sickness,283,2,rain,254,human,168,sickness,283,human,168,,,,,,,,,,,,
skigoggles,284,1,snow,291,glasses,144,,,,,,,,,,,,,,,,
sky,285,1,cloud,76,air,4,,,,,,,,,,,,,,,,
skyscraper,286,1,sky,285,house,167,,,,,,,,,,,,,,,,
sledge,287,2,snow,291,wagon,340,snow,291,cart,59,,,,,,,,,,,,
smog,288,1,fog,131,smoke,289,,,,,,,,,,,,,,,,
smoke,289,1,fire,2,wood,356,,,,,,,,,,,,,,,,
snake,290,1,wire,353,wildanimal,349,,,,,,,,,,,,,,,,
snow,291,1,rain,254,cold,81,,,,,,,,,,,,,,,,
snowball,292,1,snow,291,human,168,,,,,,,,,,,,,,,,
snowboard,293,1,snow,291,wood,356,,,,,,,,,,,,,,,,
snowman,294,1,snow,291,human,168,,,,,,,,,,,,,,,,
solarcell,295,1,sun,310,tool,327,,,,,,,,,,,,,,,,
sound,296,1,wave,345,air,4,,,,,,,,,,,,,,,,
space,297,3,star,299,moon,208,star,299,sky,285,sun,310,star,299,,,,,,,,
squirrel,298,1,mouse,212,tree,329,,,,,,,,,,,,,,,,
star,299,1,night,220,sky,285,,,,,,,,,,,,,,,,
starfish,300,3,star,299,fish,126,star,299,ocean,223,star,299,sea,275,,,,,,,,
statue,301,1,stone,306,tool,327,,,,,,,,,,,,,,,,
steam,302,2,water,1,fire,2,water,1,energy,115,,,,,,,,,,,,
steamengine,303,1,boiler,43,tool,327,,,,,,,,,,,,,,,,
steamboat,304,2,steamengine,303,boat,42,water,1,steamengine,303,,,,,,,,,,,,
steel,305,1,coal,77,metal,201,,,,,,,,,,,,,,,,
stone,306,1,air,4,lava,183,,,,,,,,,,,,,,,,
storm,307,2,electricity,113,cloud,76,energy,115,cloud,76,,,,,,,,,,,,
story,308,1,human,168,campfire,55,,,,,,,,,,,,,,,,
sugar,309,3,fire,2,juice,178,energy,115,fruit,136,energy,115,juice,178,,,,,,,,
sun,310,1,fire,2,sky,285,,,,,,,,,,,,,,,,
sundial,311,1,sun,310,clock,75,,,,,,,,,,,,,,,,
sunflower,312,1,sun,310,plant,246,,,,,,,,,,,,,,,,
sunglasses,313,1,sun,310,glasses,144,,,,,,,,,,,,,,,,
surfer,314,1,wave,345,human,168,,,,,,,,,,,,,,,,
sushi,315,2,seaweed,280,caviar,62,seaweed,280,fish,126,,,,,,,,,,,,
swamp,316,1,mud,213,plant,246,,,,,,,,,,,,,,,,
sweater,317,1,wool,357,tool,327,,,,,,,,,,,,,,,,
swimgoggles,318,1,water,1,glasses,144,,,,,,,,,,,,,,,,
sword,319,2,metal,201,blade,39,steel,305,blade,39,,,,,,,,,,,,
swordfish,320,1,sword,319,fish,126,,,,,,,,,,,,,,,,
telescope,321,2,star,299,glass,143,sky,285,glass,143,,,,,,,,,,,,
tide,322,2,moon,208,ocean,223,moon,208,sea,275,,,,,,,,,,,,
time,323,1,sand,265,glass,143,,,,,,,,,,,,,,,,
Titanic,324,1,iceberg,172,steamboat,304,,,,,,,,,,,,,,,,
toast,325,2,fire,2,bread,46,fire,2,sandwich,269,,,,,,,,,,,,
tobacco,326,1,fire,2,plant,246,,,,,,,,,,,,,,,,
tool,327,1,metal,201,human,168,,,,,,,,,,,,,,,,
train,328,2,metal,201,steamengine,303,steel,305,steamengine,303,,,,,,,,,,,,
tree,329,1,plant,246,time,323,,,,,,,,,,,,,,,,
treehouse,330,1,tree,329,house,167,,,,,,,,,,,,,,,,
tsunami,331,1,earthquake,107,ocean,223,,,,,,,,,,,,,,,,
turtle,332,1,sand,265,egg,109,,,,,,,,,,,,,,,,
twilight,333,1,day,91,night,220,,,,,,,,,,,,,,,,
umbrella,334,1,rain,254,tool,327,,,,,,,,,,,,,,,,
unicorn,335,4,doublerainbow!,98,horse,164,doublerainbow!,98,life,188,rainbow,255,horse,164,rainbow,255,life,188,,,,
vampire,336,2,blood,41,human,168,vampire,336,human,168,,,,,,,,,,,,
village,337,1,house,167,house,167,,,,,,,,,,,,,,,,
volcano,338,1,earth,3,lava,183,,,,,,,,,,,,,,,,
vulture,339,1,bird,36,corpse,84,,,,,,,,,,,,,,,,
wagon,340,1,horse,164,cart,59,,,,,,,,,,,,,,,,
wall,341,1,brick,47,brick,47,,,,,,,,,,,,,,,,
warrior,342,1,sword,319,human,168,,,,,,,,,,,,,,,,
watch,343,1,clock,75,human,168,,,,,,,,,,,,,,,,
waterpipe,344,1,water,1,pipe,240,,,,,,,,,,,,,,,,
wave,345,2,wind,350,ocean,223,wind,350,sea,275,,,,,,,,,,,,
werewolf,346,2,wolf,355,human,168,werewolf,346,human,168,,,,,,,,,,,,
wheat,347,1,field,122,farmer,120,,,,,,,,,,,,,,,,
wheel,348,1,tool,327,wood,356,,,,,,,,,,,,,,,,
wildanimal,349,1,life,188,forest,132,,,,,,,,,,,,,,,,
wind,350,1,air,4,pressure,250,,,,,,,,,,,,,,,,
windmill,351,2,wind,350,house,167,wind,350,wheel,348,,,,,,,,,,,,
wine,352,1,alcohol,7,fruit,136,,,,,,,,,,,,,,,,
wire,353,1,electricity,113,metal,201,,,,,,,,,,,,,,,,
wizard,354,1,energy,115,human,168,,,,,,,,,,,,,,,,
wolf,355,3,dog,96,forest,132,wildanimal,349,dog,96,wildanimal,349,moon,208,,,,,,,,
wood,356,1,tree,329,tool,327,,,,,,,,,,,,,,,,
wool,357,1,sheep,282,tool,327,,,,,,,,,,,,,,,,
yoda,358,1,jedi,177,swamp,316,,,,,,,,,,,,,,,,
yogurt,359,1,bacteria,26,milk,204,,,,,,,,,,,,,,,,
zombie,360,2,life,188,corpse,84,human,168,zombie,360,,,,,,,,,,,,
